Total Population,American Indian and Alaska Native,Asian,African American,Native Hawaiian and Other Pacific Islander,White,Some Other Race,Two or More Races,Hispanic or Latino
Valley Glen,"38,129",94,"2,050","1,721",0,"19,074","5,671","6,689"
Valley Village,"22,437",146,"1,835","2,156",35,"12,404","1,692","3,239"
Van Nuys,"111,373","1,208","8,309","5,978",327,"23,528","35,052","25,381"
Venice,"30,537",211,"1,996","2,292",45,"20,152","1,596","3,456"
Vermont Knolls,"27,421",263,196,"10,243",79,430,"10,762","4,175"
Vermont Square,"64,276","1,012",743,"13,613",47,"1,420","30,842","9,100"
Vermont-Slauson/Harvard Park/Chesterfield Square,"36,381",387,251,"9,449",0,644,"15,671","7,459"
Vermont Vista,"11,794",108,64,"2,071",14,183,"4,257","2,907"
View Heights,"4,032",0,233,"2,675",0,401,280,320
Virgil Village,768,26,95,24,0,186,204,64
Watts,"38,737",867,566,"7,715",5,311,"17,118","7,432"
West Adams,"22,914",113,618,"5,664",0,"2,338","6,609","4,253"
West Adams Terrace/Kinney Heights/Berkely Square,"9,085",35,537,"3,353",0,799,"1,779","1,525"
West Hills,"33,097",376,"4,838","1,564",39,"19,992","1,421","3,771"
West LA,"48,625",78,"10,035","1,818",70,"25,711","3,305","5,399"
West Toluca Lake,"4,215",0,484,279,0,"2,114",449,751
Westchester,"41,624",370,"6,857","4,122",87,"19,930","1,572","6,689"
Western Heights/Sugar Hill/West Adams Heights,"2,965",36,564,596,0,272,"1,176",185
Western Wilton,"4,564",0,"2,375",122,0,302,749,559
Westlake & Historic Filipinotown,"114,106","3,061","23,612","8,430",220,"7,271","46,918","12,323"
Westside Village,"10,029",15,"3,025",511,64,"4,302",843,888
Westwood,"51,900",187,"13,918","2,350",170,"25,775","3,021","4,597"
Wilmington,"52,030",540,"1,635","1,697",161,"1,839","12,306","7,379"
Wilshire Center,"60,303",949,"20,745","3,619",117,"5,741","18,871","6,648"
Wilshire Vista,"2,201",9,109,278,0,831,308,576
Wilshire Vista Heights,"2,773",0,243,717,0,937,459,263
Windsor Square,"2,781",0,"1,246",109,0,794,100,481
Winnetka,"75,191",694,"13,114","2,999",46,"23,594","20,575","9,824"
Woodland Hills,"80,233",477,"9,874","5,559",180,"45,874","6,049","9,037"
